step	time	x	s
56	5.599999999999996	1.0182160368965367	0.08178396310346311
57	5.699999999999996	1.0411206268755508	0.058879373124449075
58	5.799999999999995	1.0604121587628745	0.03958784123712547
59	5.899999999999995	1.075449080250796	0.02455091974920396
60	5.999999999999995	1.0860484656735445	0.013951534326455503
61	6.099999999999994	1.092696924835854	0.007303075164146085
62	6.199999999999994	1.0964153866606898	0.0035846133393101663
63	6.299999999999994	1.0983124952628982	0.0016875047371017198
64	6.399999999999993	1.0992238203777025	0.0007761796222973655
65	6.499999999999993	1.0996471322818244	0.0003528677181754031
66	6.5999999999999925	1.0998404650600446	0.00015953493995518733
67	6.699999999999992	1.0999280568118728	7.194318812705228e-05
68	6.799999999999992	1.0999675945327345	3.240546726523323e-05
69	6.8999999999999915	1.0999854112410856	1.4588758914101768e-05
70	6.999999999999991	1.0999934337816832	6.566218316395711e-06
71	7.099999999999991	1.099997044943083	2.95505691673082e-06
72	7.19999999999999	1.0999986701719946	1.3298280051489247e-06
73	7.29999999999999	1.0999994015667869	5.984332128310544e-07
74	7.39999999999999	1.0999997307029052	2.692970944949772e-07
75	7.499999999999989	1.099999878815872	1.211841276471186e-07
76	7.599999999999989	1.0999999454670542	5.4532945554653375e-08
77	7.699999999999989	1.0999999754601564	2.45398433426372e-08
78	7.799999999999988	1.0999999889570666	1.1042933117409325e-08
79	7.899999999999988	1.0999999950306791	4.969320634512348e-09
80	7.999999999999988	1.0999999977638053	2.2361944336954348e-09
81	8.099999999999987	1.0999999989937121	1.0062875251663387e-09
82	8.199999999999987	1.0999999995471703	4.5282939240054e-10
83	8.299999999999986	1.0999999997962264	2.0377322781056984e-10
84	8.399999999999986	1.0999999999083017	9.169795276389764e-11
85	8.499999999999986	1.0999999999587355	4.126407879420504e-11
86	8.599999999999985	1.0999999999814307	1.8568835467608622e-11
87	8.699999999999985	1.0999999999916437	8.355975962492695e-12
88	8.799999999999985	1.0999999999962395	3.760189183540648e-12
89	8.899999999999984	1.0999999999983077	1.6920851326781262e-12
90	8.999999999999984	1.0999999999992383	7.614383097223361e-13
91	9.099999999999984	1.099999999999657	3.426472393785301e-13
92	9.199999999999983	1.0999999999998455	1.5419125772104304e-13
93	9.299999999999983	1.0999999999999304	6.938606597461204e-14
94	9.399999999999983	1.0999999999999686	3.1223729688604316e-14
95	9.499999999999982	1.0999999999999857	1.4050678359877794e-14
96	9.599999999999982	1.0999999999999934	6.322805261946194e-15
97	9.699999999999982	1.099999999999997	2.8452623678760283e-15
98	9.799999999999981	1.0999999999999985	1.2803680655442615e-15
99	9.89999999999998	1.0999999999999992	5.761656294949275e-16
100	9.99999999999998	1.0999999999999994	2.5927453327271947e-16
